layer,head,head_id,orig_lora,ablated_lora,ce_lora,source_csv_lora,orig_base,ablated_base,ce_base,source_csv_base,delta_ce,layer_bin
0,27,0-27,4.371394852797191,4.625923266013463,-0.2545284132162724,C:\Users\Farshelina\desktop\causal_results\causal_results\qwen25_lora_scan_v5_layers_0_6\head_scan_Qwen2___5-7B_Qwen2.5-7B-LoRA-doudizhu-v2.csv,1.390710671742757,1.100806713104248,0.289903958638509,C:\Users\Farshelina\desktop\causal_results\causal_results\qwen25_base_scan_v5_layers_0_6\head_scan_Qwen2___5-7B_base.csv,-0.5444323718547814,0-6
9,15,9-15,4.371394852797191,4.772839347521464,-0.4014444947242737,C:\Users\Farshelina\desktop\causal_results\causal_results\qwen25_lora_scan_v5_layers_7_13\head_scan_Qwen2___5-7B_Qwen2.5-7B-LoRA-doudizhu-v2.csv,1.390710671742757,1.2474114894866943,0.1432991822560627,C:\Users\Farshelina\desktop\causal_results\causal_results\qwen25_base_scan_v5_layers_7_13\head_scan_Qwen2___5-7B_base.csv,-0.5447436769803364,7-13
12,17,12-17,4.371394852797191,5.217351019382477,-0.8459561665852862,C:\Users\Farshelina\desktop\causal_results\causal_results\qwen25_lora_scan_v5_layers_7_13\head_scan_Qwen2___5-7B_Qwen2.5-7B-LoRA-doudizhu-v2.csv,1.390710671742757,1.6900808811187744,-0.2993702093760173,C:\Users\Farshelina\desktop\causal_results\causal_results\qwen25_base_scan_v5_layers_7_13\head_scan_Qwen2___5-7B_base.csv,-0.5465859572092688,7-13
13,16,13-16,4.371394852797191,4.939611454804738,-0.5682166020075474,C:\Users\Farshelina\desktop\causal_results\causal_results\qwen25_lora_scan_v5_layers_7_13\head_scan_Qwen2___5-7B_Qwen2.5-7B-LoRA-doudizhu-v2.csv,1.390710671742757,1.4017662207285564,-0.0110555489857993,C:\Users\Farshelina\desktop\causal_results\causal_results\qwen25_base_scan_v5_layers_7_13\head_scan_Qwen2___5-7B_base.csv,-0.5571610530217481,7-13
16,17,16-17,4.371394852797191,4.834400633970897,-0.463005781173706,C:\Users\Farshelina\desktop\causal_results\causal_results\qwen25_lora_scan_v5_layers_14_20\head_scan_Qwen2___5-7B_Qwen2.5-7B-LoRA-doudizhu-v2.csv,1.390710671742757,1.2955323060353596,0.0951783657073974,C:\Users\Farshelina\desktop\causal_results\causal_results\qwen25_base_scan_v5_layers_14_20\head_scan_Qwen2___5-7B_base.csv,-0.5581841468811034,14-20
6,10,6-10,4.371394852797191,5.049300034840901,-0.6779051820437108,C:\Users\Farshelina\desktop\causal_results\causal_results\qwen25_lora_scan_v5_layers_0_6\head_scan_Qwen2___5-7B_Qwen2.5-7B-LoRA-doudizhu-v2.csv,1.390710671742757,1.5081524848937988,-0.1174418131510417,C:\Users\Farshelina\desktop\causal_results\causal_results\qwen25_base_scan_v5_layers_0_6\head_scan_Qwen2___5-7B_base.csv,-0.560463368892669,0-6
2,23,2-23,4.371394852797191,5.0716143647829695,-0.7002195119857788,C:\Users\Farshelina\desktop\causal_results\causal_results\qwen25_lora_scan_v5_layers_0_6\head_scan_Qwen2___5-7B_Qwen2.5-7B-LoRA-doudizhu-v2.csv,1.390710671742757,1.5299880504608154,-0.1392773787180583,C:\Users\Farshelina\desktop\causal_results\causal_results\qwen25_base_scan_v5_layers_0_6\head_scan_Qwen2___5-7B_base.csv,-0.5609421332677205,0-6
8,1,8-1,4.371394852797191,4.902382741371791,-0.5309878885746002,C:\Users\Farshelina\desktop\causal_results\causal_results\qwen25_lora_scan_v5_layers_7_13\head_scan_Qwen2___5-7B_Qwen2.5-7B-LoRA-doudizhu-v2.csv,1.390710671742757,1.3581575552622478,0.0325531164805092,C:\Users\Farshelina\desktop\causal_results\causal_results\qwen25_base_scan_v5_layers_7_13\head_scan_Qwen2___5-7B_base.csv,-0.5635410050551094,7-13
5,27,5-27,4.371394852797191,4.854381223519643,-0.4829863707224522,C:\Users\Farshelina\desktop\causal_results\causal_results\qwen25_lora_scan_v5_layers_0_6\head_scan_Qwen2___5-7B_Qwen2.5-7B-LoRA-doudizhu-v2.csv,1.390710671742757,1.309597412745158,0.0811132589975991,C:\Users\Farshelina\desktop\causal_results\causal_results\qwen25_base_scan_v5_layers_0_6\head_scan_Qwen2___5-7B_base.csv,-0.5640996297200513,0-6
0,0,0-0,4.371394852797191,4.576229820648829,-0.2048349678516388,C:\Users\Farshelina\desktop\causal_results\causal_results\qwen25_lora_scan_v5_layers_0_6\head_scan_Qwen2___5-7B_Qwen2.5-7B-LoRA-doudizhu-v2.csv,1.390710671742757,1.0307491620381672,0.3599615097045898,C:\Users\Farshelina\desktop\causal_results\causal_results\qwen25_base_scan_v5_layers_0_6\head_scan_Qwen2___5-7B_base.csv,-0.5647964775562286,0-6
