run,model,version,step,epoch,loss,learning_rate,source
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,940,0.13452593917710196,2.0379,4.4778254649499286e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,950,0.13595706618962433,1.8922,4.52551263710062e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,960,0.13738819320214668,2.0364,4.573199809251312e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,970,0.13881932021466906,1.8311,4.620886981402003e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,980,0.1402504472271914,1.9939,4.668574153552694e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,990,0.14168157423971378,1.8928,4.716261325703386e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1000,0.14311270125223613,2.024,4.7639484978540775e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1010,0.1445438282647585,1.9765,4.811635670004769e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1020,0.14597495527728085,1.7995,4.859322842155461e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1030,0.14740608228980323,1.8081,4.907010014306152e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1040,0.14883720930232558,1.8826,4.954697186456843e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1050,0.15026833631484796,1.8481,5.002384358607535e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1060,0.1516994633273703,1.9125,5.050071530758226e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1070,0.15313059033989265,1.7193,5.097758702908918e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1080,0.15456171735241503,1.859,5.145445875059609e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1090,0.15599284436493738,1.9264,5.1931330472103e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1100,0.15742397137745975,1.7983,5.240820219360992e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1110,0.1588550983899821,1.8321,5.288507391511683e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1120,0.16028622540250448,1.9045,5.3361945636623754e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1130,0.16171735241502683,1.7619,5.383881735813066e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,1140,0.1631484794275492,1.874,5.431568907963758e-05,final trainer_log.jsonl
